event_id,raw_text
0,Наименование результата
1,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
2,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
3,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
4,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
5,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
6,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
7,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
8,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
9,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
10,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
11,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
12,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
13,Оказана методическая помощь территориальным органам Минюста России по вопросам государственной регистрации некоммерческих организаций
14,"Некоммерческие организации (иные заинтересованные лица) проинформированы о требованиях законодательства Российской Федерации к документам, представляемым в Минюст России, которые необходимы для осуществления возложенных на него полномочий, и порядка их представления"
15,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
16,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
17,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
18,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
19,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
20,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
21,"Проведен комплекс организационных мероприятий, необходимых для обеспечения эффективного функционирования многофункциональных центров предоставления государственных и муниципальных услуг в каждом субъекте Российской Федерации"
22,"Проведен комплекс организационных мероприятий, необходимых для обеспечения эффективного функционирования многофункциональных центров предоставления государственных и муниципальных услуг в каждом субъекте Российской Федерации"
23,"Проведен комплекс организационных мероприятий, необходимых для обеспечения эффективного функционирования многофункциональных центров предоставления государственных и муниципальных услуг в каждом субъекте Российской Федерации"
24,"Проведен комплекс организационных мероприятий, необходимых для обеспечения эффективного функционирования многофункциональных центров предоставления государственных и муниципальных услуг в каждом субъекте Российской Федерации"
25,"Проведен комплекс организационных мероприятий, необходимых для обеспечения эффективного функционирования многофункциональных центров предоставления государственных и муниципальных услуг в каждом субъекте Российской Федерации"
26,"Проведен комплекс организационных мероприятий, необходимых для обеспечения эффективного функционирования многофункциональных центров предоставления государственных и муниципальных услуг в каждом субъекте Российской Федерации"
27,Созданы производственные мощности для обезвреживания и размещения отходов
28,Правовая основа повышения качества бухгалтерской (финансовой) отчетности на основе внедрения принципов Международных стандартов финансовой отчетности  (МСФО)  в федеральные стандарты бухгалтерского учета (ФСБУ) обеспечена
29,Правовая основа повышения качества бухгалтерской (финансовой) отчетности на основе внедрения принципов Международных стандартов финансовой отчетности  (МСФО)  в федеральные стандарты бухгалтерского учета (ФСБУ) обеспечена
30,Правовая основа повышения качества бухгалтерской (финансовой) отчетности на основе внедрения принципов Международных стандартов финансовой отчетности  (МСФО)  в федеральные стандарты бухгалтерского учета (ФСБУ) обеспечена
31,Правовая основа повышения качества бухгалтерской (финансовой) отчетности на основе внедрения принципов Международных стандартов финансовой отчетности  (МСФО)  в федеральные стандарты бухгалтерского учета (ФСБУ) обеспечена
32,Правовая основа повышения качества бухгалтерской (финансовой) отчетности на основе внедрения принципов Международных стандартов финансовой отчетности  (МСФО)  в федеральные стандарты бухгалтерского учета (ФСБУ) обеспечена
33,Правовая основа повышения качества бухгалтерской (финансовой) отчетности на основе внедрения принципов Международных стандартов финансовой отчетности  (МСФО)  в федеральные стандарты бухгалтерского учета (ФСБУ) обеспечена
34,"Оплата услуг кредитным и иным организациям, связанных с осуществлением компенсационных выплат, осуществлена"
35,"Оплата услуг кредитным и иным организациям, связанных с осуществлением компенсационных выплат, осуществлена"
36,"Оплата услуг кредитным и иным организациям, связанных с осуществлением компенсационных выплат, осуществлена"
37,"Оплата услуг кредитным и иным организациям, связанных с осуществлением компенсационных выплат, осуществлена"
38,"Оплата услуг кредитным и иным организациям, связанных с осуществлением компенсационных выплат, осуществлена"
39,"Оплата услуг кредитным и иным организациям, связанных с осуществлением компенсационных выплат, осуществлена"
40,"Образовательным организациям, реализующим образовательные программы общего образования, разработанные в соответствии с обновленными федеральными государственными образовательными стандартами, оказана технологическая и информационно - методическая поддержка"
41,"Образовательным организациям, реализующим образовательные программы общего образования, разработанные в соответствии с обновленными федеральными государственными образовательными стандартами, оказана технологическая и информационно - методическая поддержка"
42,"Образовательным организациям, реализующим образовательные программы общего образования, разработанные в соответствии с обновленными федеральными государственными образовательными стандартами, оказана технологическая и информационно - методическая поддержка"
43,"Образовательным организациям, реализующим образовательные программы общего образования, разработанные в соответствии с обновленными федеральными государственными образовательными стандартами, оказана технологическая и информационно - методическая поддержка"
44,"Образовательным организациям, реализующим образовательные программы общего образования, разработанные в соответствии с обновленными федеральными государственными образовательными стандартами, оказана технологическая и информационно - методическая поддержка"
45,"Образовательным организациям, реализующим образовательные программы общего образования, разработанные в соответствии с обновленными федеральными государственными образовательными стандартами, оказана технологическая и информационно - методическая поддержка"
46,"Реализованы образовательные программы среднего профессионального образования за счет бюджетных ассигнований федерального бюджета, ежегодно"
47,"Реализованы образовательные программы среднего профессионального образования за счет бюджетных ассигнований федерального бюджета, ежегодно"
48,"Реализованы образовательные программы среднего профессионального образования за счет бюджетных ассигнований федерального бюджета, ежегодно"
49,"Реализованы образовательные программы среднего профессионального образования за счет бюджетных ассигнований федерального бюджета, ежегодно"
50,"Реализованы образовательные программы среднего профессионального образования за счет бюджетных ассигнований федерального бюджета, ежегодно"
51,"Реализованы образовательные программы среднего профессионального образования за счет бюджетных ассигнований федерального бюджета, ежегодно"
52,"Обеспечен действенный контроль и усиление административной ответственности за нарушение законодательства Российской Федерации о естественных монополиях, законодательства Российской Федерации в области регулирования цен (тарифов)"
53,"Обеспечен действенный контроль и усиление административной ответственности за нарушение законодательства Российской Федерации о естественных монополиях, законодательства Российской Федерации в области регулирования цен (тарифов)"
54,"Обеспечен действенный контроль и усиление административной ответственности за нарушение законодательства Российской Федерации о естественных монополиях, законодательства Российской Федерации в области регулирования цен (тарифов)"
55,"Обеспечен действенный контроль и усиление административной ответственности за нарушение законодательства Российской Федерации о естественных монополиях, законодательства Российской Федерации в области регулирования цен (тарифов)"
56,"Обеспечен действенный контроль и усиление административной ответственности за нарушение законодательства Российской Федерации о естественных монополиях, законодательства Российской Федерации в области регулирования цен (тарифов)"
57,"Обеспечен действенный контроль и усиление административной ответственности за нарушение законодательства Российской Федерации о естественных монополиях, законодательства Российской Федерации в области регулирования цен (тарифов)"
58,Осуществлено рассмотрение в досудебном порядке споров
59,Осуществлено рассмотрение в досудебном порядке споров
60,Осуществлено рассмотрение в досудебном порядке споров
61,Осуществлено рассмотрение в досудебном порядке споров
62,Осуществлено рассмотрение в досудебном порядке споров
63,Осуществлено рассмотрение в досудебном порядке споров
64,Выполнены научно-методические работы по обеспечению деятельности Росаккредитации
65,Выполнены научно-методические работы по обеспечению деятельности Росаккредитации
66,Выполнены научно-методические работы по обеспечению деятельности Росаккредитации
67,Выполнены научно-методические работы по обеспечению деятельности Росаккредитации
68,Выполнены научно-методические работы по обеспечению деятельности Росаккредитации
69,Выполнены научно-методические работы по обеспечению деятельности Росаккредитации
70,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
71,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
72,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
73,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
74,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
75,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
76,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
77,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
78,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
79,"Организованы и проведены спортивные мероприятия, включенные в Единый календарный план межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий"
